SN,2010,2012,2014
892,10300,6900,5734
893,10300,6900,5734
894,10300,6900,5734
895,10300,6900,5734
896,10300,6900,5734
897,10300,6900,5734
898,10300,6900,5734
899,10300,6900,5734
900,10300,6900,5734
901,10300,6900,5734
902,10300,6900,5734
903,10300,6900,5734
904,10300,6900,5734
905,10300,6900,5734
906,10300,6900,5734
907,10200,6900,5700
908,10200,6900,5400
909,10200,6900,5300
910,10200,6900,5200
911,10200,6900,5000
912,10200,6900,5000
913,10200,6900,5000
914,10200,6800,5000
915,10200,6800,5000
916,10200,6800,5000
917,10200,6800,5000
918,10200,6800,5000
919,10200,6800,5000
920,10200,6800,5000
921,10200,6800,5000
922,10200,6800,5000
923,10200,6800,5000
924,10200,6800,5000
925,10200,6800,5000
926,10200,6800,5000
927,10200,6800,5000
928,10200,6800,5000
929,10200,6800,5000
930,10200,6800,4900
931,10200,6800,4900
932,10200,6800,4900
933,10200,6800,4900
934,10200,6800,4900
935,10100,6800,4900
936,10100,6800,4900
937,10100,6800,4900
938,10100,6800,4900
939,10100,6800,4900
940,10100,6800,4900
941,10100,6800,4900
942,10100,6800,4900
943,10100,6800,4900
944,10100,6800,4900
945,10100,6800,4900
946,10100,6800,4900
947,10100,6800,4900
948,10100,6800,4900
949,10100,6800,4900
950,10100,6800,4900
951,10100,6800,4900
952,10100,6800,4900
953,10100,6800,4900
954,10100,6800,4900
955,10100,6800,4900
956,10100,6800,4900
957,10100,6800,4900
958,10100,6800,4800
959,10100,6800,4800
960,10100,6800,4800
961,10100,6800,4800
962,10100,6800,4800
963,10000,6800,4800
964,10000,6710,4700
965,10000,6703,4700
966,10000,6703,4700
967,10000,6700,4700
968,10000,6700,4700
969,10000,6700,4700
970,10000,6700,4600
971,10000,6700,4600
972,10000,6700,4600
973,10000,6700,4600
974,10000,6700,4600
975,10000,6700,4600
976,10000,6700,4500
977,10000,6700,4500
978,10000,6700,4500
979,10000,6700,4500
980,10000,6700,4500
981,10000,6700,4500
982,10000,6700,4500
983,10000,6700,4500
984,10000,6700,4500
985,10000,6700,4400
986,10000,6700,4400
987,10000,6700,4400
988,10000,6700,4400
989,10000,6700,4400
990,10000,6700,4400
991,10000,6700,4400
992,10000,6700,4400
993,10000,6700,4400
994,10000,6700,4300
995,10000,6700,4300
996,9900,6700,4300
997,9900,6700,4300
998,9900,6700,4300
999,9900,6700,4300
1000,9900,6700,4300
1001,9900,6700,4300
1002,9900,6700,4300
1003,9900,6700,4300
1004,9900,6700,4300
1005,9900,6700,4300
1006,9900,6700,4300
1007,9900,6700,4300
1008,9900,6700,4300
1009,9900,6615,4300
1010,9900,6615,4300
1011,9900,6600,4300
1012,9900,6600,4300
1013,9900,6600,4300
1014,9900,6600,4300
1015,9900,6600,4300
1016,9900,6600,4300
1017,9900,6600,4300
1018,9900,6600,4300
1019,9900,6600,4300
1020,9900,6600,4300
1021,9900,6600,4300
1022,9900,6600,4300
1023,9900,6600,4300
1024,9900,6600,4300
1025,9900,6600,4300
1026,9900,6600,4300
1027,9900,6600,4300
1028,9900,6600,4300
1029,9900,6600,4300
1030,9800,6600,4300
1031,9800,6600,4300
1032,9800,6600,4200
1033,9800,6600,4200
1034,9800,6600,4200
1035,9800,6600,4200
1036,9800,6600,4200
1037,9800,6600,4200
1038,9800,6600,4200
1039,9800,6600,4200
1040,9800,6600,4200
1041,9800,6600,4200
1042,9800,6600,4200
1043,9800,6600,4200
1044,9800,6600,4200
1045,9800,6600,4200
1046,9800,6600,4200
1047,9800,6600,4200
